Team,FaZe,Lynn Vision,PARIVISION,The Huns,Imperial,Rare Atom,B8,M80,Ninjas in Pyjamas,NRG,GamerLegion,Fluxo,fnatic,RED Canids,Legacy,FlyQuest
FaZe,-,0.67,0.608510638,0.922818792,0.705128205,0.922818792,0.608510638,0.684931507,0.619834711,0.765306122,0.589285714,0.779376499,0.608510638,0.844594595,0.494505495,0.714285714
Lynn Vision,0.33,-,0.471947195,0.873015873,0.578947368,0.873015873,0.471947195,0.555555556,0.483870968,0.652173913,0.452054795,0.670103093,0.471947195,0.757575758,0.36,0.58974359
PARIVISION,0.391489362,0.528052805,-,0.77,0.606060606,0.884955752,0.5,0.583090379,0.511945392,0.677200903,0.48,0.694444444,0.5,0.777604977,0.386266094,0.616621984
The Huns,0.077181208,0.126984127,0.23,-,0.166666667,0.5,0.115044248,0.153846154,0.12,0.214285714,0.107142857,0.228070175,0.115044248,0.3125,0.075630252,0.172932331
Imperial,0.294871795,0.421052632,0.432782369,0.833333333,-,0.66,0.393939394,0.476190476,0.405405405,0.576923077,0.375,0.596330275,0.393939394,0.694444444,0.290322581,0.511111111
Rare Atom,0.077181208,0.126984127,0.126387772,0.5,0.34,-,0.115044248,0.153846154,0.12,0.214285714,0.107142857,0.228070175,0.115044248,0.3125,0.075630252,0.172932331
B8,0.391489362,0.528052805,0.549300699,0.884955752,0.606060606,0.884955752,-,0.53,0.511945392,0.677200903,0.48,0.694444444,0.5,0.777604977,0.386266094,0.616621984
M80,0.315068493,0.444444444,0.458017493,0.846153846,0.523809524,0.846153846,0.47,-,0.428571429,0.6,0.397590361,0.619047619,0.416909621,0.714285714,0.310344828,0.534883721
Ninjas in Pyjamas,0.380165289,0.516129032,0.536177474,0.88,0.594594595,0.88,0.488054608,0.571428571,-,0.6,0.468085106,0.684210526,0.488054608,0.769230769,0.375,0.605263158
NRG,0.234693878,0.347826087,0.35462754,0.785714286,0.423076923,0.785714286,0.322799097,0.4,0.4,-,0.305555556,0.52,0.322799097,0.625,0.230769231,0.433962264
GamerLegion,0.410714286,0.547945205,0.571272727,0.892857143,0.625,0.892857143,0.52,0.602409639,0.531914894,0.694444444,-,0.675,0.52,0.791139241,0.405405405,0.635359116
Fluxo,0.220623501,0.329896907,0.335683761,0.771929825,0.403669725,0.771929825,0.305555556,0.380952381,0.315789474,0.48,0.325,-,0.305555556,0.606060606,0.21686747,0.414414414
fnatic,0.391489362,0.528052805,0.549300699,0.884955752,0.606060606,0.884955752,0.5,0.583090379,0.511945392,0.677200903,0.48,0.694444444,-,0.66,0.386266094,0.616621984
RED Canids,0.155405405,0.242424242,0.244323484,0.6875,0.305555556,0.6875,0.222395023,0.285714286,0.230769231,0.375,0.208860759,0.393939394,0.34,-,0.152542373,0.315068493
Legacy,0.505494505,0.64,0.674248927,0.924369748,0.709677419,0.924369748,0.613733906,0.689655172,0.625,0.769230769,0.594594595,0.78313253,0.613733906,0.847457627,-,0.65
FlyQuest,0.285714286,0.41025641,0.421179625,0.827067669,0.488888889,0.827067669,0.383378016,0.465116279,0.394736842,0.566037736,0.364640884,0.585585586,0.383378016,0.684931507,0.35,-
