,Aurora,NaVi,Liquid,PARI,3DMAX,Astralis,FaZe,B8,Fnatic,NIP,M80,PUA,Tyloo,FlyQuest,MiBR,Imperial
Aurora,,0.505663430420712,0.521722113502936,0.556442831215971,0.569263306309482,0.569263306309482,0.585622244828756,0.609709358032577,0.632149307645996,0.632149307645996,0.660272449263275,0.660272449263275,0.692346424974824,0.692346424974824,0.777898945837877,0.741211351122406
NaVi,0.494336569579288,,0.516066589237321,0.550844412504492,0.56369982547993,0.56369982547993,0.58011420893517,0.604305159860715,0.626865671641791,0.626865671641791,0.655172413793103,0.655172413793103,0.6875,0.6875,0.773960216998192,0.736842105263158
Liquid,0.478277886497065,0.483933410762679,,0.534891835310537,0.547829036635007,0.547829036635007,0.56437908496732,0.588834053053671,0.611709874745121,0.611709874745121,0.640507011866235,0.640507011866235,0.673524369336272,0.673524369336272,0.762515588811687,0.724187875025864
PARI,0.443557168784029,0.449155587495508,0.465108164689463,,0.513024142312579,0.513024142312579,0.529754601226994,0.554619407321325,0.578034682080925,0.578034682080925,0.607727737973388,0.607727737973388,0.642073313098296,0.642073313098296,0.736280750043007,0.695410292072323
3DMAX,0.430736693690518,0.43630017452007,0.452170963364993,0.486975857687421,,0.5,0.516756433273489,0.541713961407492,0.565275908479139,0.565275908479139,0.595238095238095,0.595238095238095,0.630011454753723,0.630011454753723,0.726039016115352,0.684261974584555
Astralis,0.430736693690518,0.43630017452007,0.452170963364993,0.486975857687421,0.5,,0.516756433273489,0.541713961407492,0.565275908479139,0.565275908479139,0.595238095238095,0.595238095238095,0.630011454753723,0.630011454753723,0.726039016115352,0.684261974584555
FaZe,0.414377755171244,0.41988579106483,0.43562091503268,0.470245398773006,0.483243566726511,0.483243566726511,,0.525027502750275,0.548732688790175,0.548732688790175,0.578985860555826,0.578985860555826,0.614250614250614,0.614250614250614,0.71250208090561,0.669600153051463
B8,0.390290641967423,0.395694840139285,0.411165946946329,0.445380592678675,0.458286038592508,0.458286038592508,0.474972497249725,,0.523821401845847,0.523821401845847,0.554388422035481,0.554388422035481,0.590255419617944,0.590255419617944,0.691549523347875,0.647069698650398
Fnatic,0.367850692354004,0.373134328358209,0.388290125254879,0.421965317919075,0.434724091520861,0.434724091520861,0.451267311209825,0.476178598154153,,0.5,0.53072625698324,0.53072625698324,0.567010309278351,0.567010309278351,0.670846394984326,0.625
NIP,0.367850692354004,0.373134328358209,0.388290125254879,0.421965317919075,0.434724091520861,0.434724091520861,0.451267311209825,0.476178598154153,0.5,,0.53072625698324,0.53072625698324,0.567010309278351,0.567010309278351,0.670846394984326,0.625
M80,0.339727550736725,0.344827586206897,0.359492988133765,0.392272262026612,0.404761904761905,0.404761904761905,0.421014139444174,0.445611577964519,0.46927374301676,0.46927374301676,,0.5,0.536585365853659,0.536585365853659,0.643125469571751,0.595744680851064
PUA,0.339727550736725,0.344827586206897,0.359492988133765,0.392272262026612,0.404761904761905,0.404761904761905,0.421014139444174,0.445611577964519,0.46927374301676,0.46927374301676,0.5,,0.536585365853659,0.536585365853659,0.643125469571751,0.595744680851064
Tyloo,0.307653575025176,0.3125,0.326475630663728,0.357926686901704,0.369988545246277,0.369988545246277,0.385749385749386,0.409744580382056,0.43298969072165,0.43298969072165,0.463414634146341,0.463414634146341,,0.5,0.608819345661451,0.56
FlyQuest,0.307653575025176,0.3125,0.326475630663728,0.357926686901704,0.369988545246277,0.369988545246277,0.385749385749386,0.409744580382056,0.43298969072165,0.43298969072165,0.463414634146341,0.463414634146341,0.5,,0.608819345661451,0.56
MiBR,0.222101054162123,0.226039783001808,0.237484411188313,0.263719249956993,0.273960983884648,0.273960983884648,0.28749791909439,0.308450476652125,0.329153605015674,0.329153605015674,0.356874530428249,0.356874530428249,0.391180654338549,0.391180654338549,,0.44987146529563
Imperial,0.258788648877594,0.263157894736842,0.275812124974136,0.304589707927677,0.315738025415445,0.315738025415445,0.330399846948536,0.352930301349603,0.375,0.375,0.404255319148936,0.404255319148936,0.44,0.44,0.55,
