GAME,FURIA,FAL,VIT,SPIRIT,MOUZ,G2,NAVI,MGLZ,LQ,FAZE,3DM,PAIN,B8,PV,PUA,IMP
FURIA,/,0.509803922,0.509803922,0.515503876,0.528301887,0.570446735,0.579124579,0.594155844,0.654696133,0.677002584,0.6875,0.6875,0.705882353,0.705882353,0.736842105,0.736842105
FAL,0.490196078,/,0.5,0.505703422,0.518518519,0.560810811,0.569536424,0.584664537,0.645776567,0.668367347,0.679012346,0.679012346,0.697674419,0.697674419,0.729166667,0.729166667
VIT,0.490196078,0.5,/,0.505703422,0.518518519,0.560810811,0.569536424,0.584664537,0.645776567,0.668367347,0.679012346,0.679012346,0.697674419,0.697674419,0.729166667,0.729166667
SPIRIT,0.484496124,0.494296578,0.494296578,/,0.512820513,0.555183946,0.563934426,0.579113924,0.640540541,0.663291139,0.674019608,0.674019608,0.692840647,0.692840647,0.724637681,0.724637681
MOUZ,0.471698113,0.481481481,0.481481481,0.487179487,/,0.54248366,0.551282051,0.566563467,0.628647215,0.651741294,0.662650602,0.662650602,0.681818182,0.681818182,0.714285714,0.714285714
G2,0.429553265,0.439189189,0.439189189,0.444816054,0.45751634,/,0.50887574,0.524355301,0.58808933,0.612149533,0.623582766,0.623582766,0.643776824,0.643776824,0.678294574,0.678294574
NAVI,0.420875421,0.430463576,0.430463576,0.436065574,0.448717949,0.49112426,/,0.515492958,0.579462103,0.603686636,0.615212528,0.615212528,0.63559322,0.63559322,0.670498084,0.670498084
MGLZ,0.405844156,0.415335463,0.415335463,0.420886076,0.433436533,0.475644699,0.484507042,/,0.564285714,0.588764045,0.600436681,0.600436681,0.621118012,0.621118012,0.656660413,0.656660413
LQ,0.345303867,0.354223433,0.354223433,0.359459459,0.371352785,0.41191067,0.420537897,0.435714286,/,0.5250501,0.537109375,0.537109375,0.558659218,0.558659218,0.596252129,0.596252129
FAZE,0.322997416,0.331632653,0.331632653,0.336708861,0.348258706,0.387850467,0.396313364,0.411235955,0.4749499,/,0.512104283,0.512104283,0.533807829,0.533807829,0.571895425,0.571895425
3DM,0.3125,0.320987654,0.320987654,0.325980392,0.337349398,0.376417234,0.384787472,0.399563319,0.462890625,0.487895717,/,0.5,0.52173913,0.52173913,0.56,0.56
PAIN,0.3125,0.320987654,0.320987654,0.325980392,0.337349398,0.376417234,0.384787472,0.399563319,0.462890625,0.487895717,0.5,/,0.52173913,0.52173913,0.56,0.56
B8,0.294117647,0.302325581,0.302325581,0.307159353,0.318181818,0.356223176,0.36440678,0.378881988,0.441340782,0.466192171,0.47826087,0.47826087,/,0.5,0.538461538,0.538461538
PV,0.294117647,0.302325581,0.302325581,0.307159353,0.318181818,0.356223176,0.36440678,0.378881988,0.441340782,0.466192171,0.47826087,0.47826087,0.5,/,0.538461538,0.538461538
PUA,0.263157895,0.270833333,0.270833333,0.275362319,0.285714286,0.321705426,0.329501916,0.343339587,0.403747871,0.428104575,0.44,0.44,0.461538462,0.461538462,/,0.5
IMP,0.263157895,0.270833333,0.270833333,0.275362319,0.285714286,0.321705426,0.329501916,0.343339587,0.403747871,0.428104575,0.44,0.44,0.461538462,0.461538462,0.5,/
